Block_APO,territory,sales_rep,plz_count,pharmacies,visited_pharmacies,top_pharmacies,total_visits,total_sales
2063,VD-VS-FR,Eléonore,5,9,8,0,32,60740.72
2065,VD-VS-FR,Eléonore,1,11,7,2,28,69016.67000000004
2066,VD-VS-FR,Eléonore,8,10,8,4,32,123043.25000000004
2067,VD-VS-FR,Eléonore,3,6,5,2,20,61129.40000000001
2069,VD-VS-FR,Eléonore,2,7,7,2,28,84935.65000000002
2070,VD-VS-FR,Eléonore,3,4,3,2,12,39335.700000000004
2071,GE-JU-NE,Florence,1,17,13,1,52,116005.43000000004
2072,GE-JU-NE,Florence,5,6,6,1,24,54710.17000000001
2073,GE-JU-NE,Florence,3,6,5,0,20,33607.54
2074,GE-JU-NE,Florence,2,4,3,0,12,23468.730000000007
2075,GE-JU-NE,Florence,1,11,10,0,40,86684.71
2076,GE-JU-NE,Florence,5,7,7,2,28,60614.600000000006
2077,GE-JU-NE,Florence,4,7,6,1,24,64131.44000000009
2078,GE-JU-NE,Florence,6,8,6,1,24,55852.44000000001
2079,GE-JU-NE,Florence,1,6,6,0,24,29509.500000000025
2080,GE-JU-NE,Florence,4,13,9,1,36,55067.380000000005
2081,VD-VS-FR,Eléonore,5,20,17,3,68,152430.14000000004
2082,VD-VS-FR,Eléonore,5,6,6,2,24,67315.18
2084,VD-VS-FR,Eléonore,4,8,7,2,28,58088.020000000004
2085,VD-VS-FR,Eléonore,3,8,8,3,32,74701.28000000001
2086,VD-VS-FR,Eléonore,2,15,13,4,52,160408.33000000007
2087,VD-VS-FR,Eléonore,8,12,11,1,44,110752.95000000007
2088,GE-JU-NE,Florence,6,12,5,1,20,98947.6
2089,GE-JU-NE,Florence,3,8,6,2,24,75908.45000000004
2090,IT-CH,Alessia,1,9,1,0,4,22786.589999999997
2091,IT-CH,Alessia,4,6,3,0,12,31520.020000000015
2092,IT-CH,Alessia,3,5,1,0,4,16618.489999999998
2093,IT-CH,Alessia,8,19,3,0,12,71139.96
2095,IT-CH,Alessia,4,5,4,0,16,31395.51
2096,IT-CH,Alessia,3,10,5,0,20,54170.30000000001
2097,IT-CH,Alessia,1,42,14,2,56,192203.13999999998
2098,IT-CH,Alessia,4,6,1,0,4,26478.860000000008
2099,IT-CH,Alessia,5,10,5,1,20,51382.47
2100,IT-CH,Alessia,5,7,4,0,16,48336.86
2101,IT-CH,Alessia,4,5,2,1,8,41338.26999999998
2102,IT-CH,Alessia,5,6,3,0,12,35366.52000000001
2103,IT-CH,Alessia,7,8,4,1,16,44859.109999999986
2104,IT-CH,Alessia,2,4,2,1,8,37310.760000000024
2105,IT-CH,Alessia,1,3,1,0,4,19615.890000000003
2106,IT-CH,Alessia,2,17,8,0,32,87717.19
2107,IT-CH,Alessia,4,6,2,0,8,32557.509999999995
2108,IT-CH,Alessia,6,13,11,2,44,120489.44000000002
2109,IT-CH,Alessia,1,15,8,0,32,83695.19000000003
2110,IT-CH,Alessia,7,9,5,1,20,59886.75
2111,IT-CH,Alessia,1,5,2,0,8,20730.300000000003
2112,IT-CH,Alessia,5,6,4,0,16,29549.04
2113,BS-BL-BE,Michaela,2,18,15,6,60,247734.44999999984
2114,BS-BL-BE,Michaela,2,5,2,0,8,27343.879999999997
2115,BS-BL-BE,Michaela,1,4,3,0,12,31213.480000000003
2116,BS-BL-BE,Michaela,2,6,5,2,20,56299.7
2117,BS-BL-BE,Michaela,2,7,5,1,20,68314.58000000002
2118,BS-BL-BE,Michaela,2,9,4,2,16,100353.21
2119,BS-BL-BE,Michaela,3,7,7,1,28,83286.26000000008
2120,BS-BL-BE,Michaela,7,16,13,5,52,153487.19999999995
2121,BS-BL-BE,Michaela,1,8,5,3,20,73894.15000000005
2122,GE-JU-NE,Florence,10,18,10,1,40,91675.37
2123,GE-JU-NE,Florence,5,14,8,4,32,129922.48999999998
2124,BS-BL-BE,Michaela,8,8,4,2,16,84103.11000000006
2125,BS-BL-BE,Michaela,3,6,4,3,16,56238.82999999998
2126,BS-BL-BE,Michaela,6,12,7,2,28,94614.27
2127,BS-BL-BE,Michaela,5,10,6,3,24,84897.92
2128,BS-BL-BE,Michaela,5,8,6,3,24,91790.17000000003
2129,BS-BL-BE,Michaela,6,9,7,3,28,88216.63000000006
2130,BS-BL-BE,Michaela,9,16,10,1,40,111481.77
2131,BS-BL-BE,Michaela,2,8,7,0,28,47772.34000000001
2132,GE-JU-NE,Florence,7,13,10,4,40,121154.68000000002
2133,GE-JU-NE,Florence,7,10,6,3,24,95929.24999999999
2134,GE-JU-NE,Florence,4,9,6,3,24,98602.76999999993
2135,GE-JU-NE,Florence,3,13,10,2,40,111426.96000000002
2136,GE-JU-NE,Florence,4,7,6,1,24,28396.27000000001
2137,GE-JU-NE,Florence,3,7,5,0,20,34047.74000000001
2138,BS-BL-BE,Michaela,2,9,6,3,24,82548.97
2139,BS-BL-BE,Michaela,6,11,10,6,40,147828.5400000001
2140,BS-BL-BE,Michaela,6,12,7,5,28,132348.21000000005
2141,BS-BL-BE,Michaela,5,14,9,4,36,112765.33999999998
2142,BS-BL-BE,Michaela,2,16,13,4,50,173404.01999999996
2143,BS-BL-BE,Michaela,1,6,5,0,20,34128.68000000001
2144,BS-BL-BE,Michaela,1,7,6,0,24,43525.840000000026
2145,BS-BL-BE,Michaela,1,4,3,2,12,45840.20999999999
2146,BS-BL-BE,Michaela,2,9,7,2,28,77536.84000000001
2147,BS-BL-BE,Michaela,1,6,4,0,16,41256.05
2148,BS-BL-BE,Michaela,1,10,8,0,32,81988.08000000003
2149,BS-BL-BE,Michaela,1,7,3,0,12,26610.71
2150,BS-BL-BE,Michaela,1,4,3,1,12,36065.40000000003
2151,BS-BL-BE,Michaela,1,7,4,1,16,46687.99000000005
2152,BS-BL-BE,Michaela,3,9,7,2,28,79956.26000000004
2153,BS-BL-BE,Michaela,4,7,6,3,24,88447.21
2154,BS-BL-BE,Michaela,3,8,7,3,28,88080.15000000002
2155,BS-BL-BE,Michaela,5,12,9,4,36,98150.57
2156,BS-BL-BE,Michaela,7,15,11,5,44,150843.16000000003
2157,BS-BL-BE,Michaela,3,10,5,3,20,103845.27999999994
2158,BS-BL-BE,Michaela,3,8,7,2,28,68717.89
2159,BS-BL-BE,Michaela,3,6,5,3,20,70452.07000000004
2160,BS-BL-BE,Michaela,3,8,5,3,20,72142.62000000002
2161,ZG CITY-AG,Luis,5,7,6,2,30,76038.95999999999
2162,ZG CITY-AG,Luis,5,12,10,4,43,99689.31999999999
2163,ZG CITY-AG,Luis,5,9,4,1,18,64589.28999999999
2164,ZG CITY-AG,Luis,4,8,7,2,30,84662.29999999997
2165,ZG CITY-AG,Luis,4,7,6,4,27,95586.32999999999
2166,ZG CITY-AG,Luis,5,11,9,5,41,131056.62000000004
2167,ZG CITY-AG,Luis,3,7,4,2,17,50752.71000000003
2168,ZG CITY-AG,Luis,3,16,10,5,42,152900.62000000002
2170,BS-BL-BE,Michaela,6,6,4,2,16,108297.14000000012
2171,ZG CITY-AG,Luis,2,6,5,2,23,68694.15000000001
2172,ZG CITY-AG,Luis,6,7,6,4,27,86310.75
2173,ZG CITY-AG,Luis,6,8,6,3,26,81207.12000000002
2174,BS-BL-BE,Michaela,4,5,4,2,16,63805.729999999996
2175,BS-BL-BE,Michaela,5,12,10,1,40,88005.38000000003
2176,BS-BL-BE,Michaela,3,8,7,0,28,60390.490000000005
2177,BS-BL-BE,Michaela,1,4,3,3,12,61908.51000000002
2178,BS-BL-BE,Michaela,1,9,3,2,12,133217.73999999996
2179,BS-BL-BE,Michaela,10,17,14,6,56,171051.79000000007
2180,BS-BL-BE,Michaela,15,24,17,7,68,259569.80000000002
2181,BS-BL-BE,Michaela,9,14,11,4,44,141673.86000000002
2182,ZH-EAST-CH,Sarina,12,19,15,6,60,179440.88000000003
2183,ZG CITY-AG,Luis,1,10,6,3,27,112348.9300000001
2184,ZG CITY-AG,Luis,7,14,11,5,49,157714.09
2185,ZH-EAST-CH,Sarina,9,16,9,5,36,154726.38000000006
2186,ZH-EAST-CH,Sarina,6,13,9,5,39,137558.96999999997
2187,ZG CITY-AG,Luis,1,22,19,12,76,414795.25000000035
2188,ZG CITY-AG,Luis,4,9,8,4,33,145627.95000000016
2190,ZG CITY-AG,Luis,3,7,6,3,25,74737.69999999998
2191,ZG CITY-AG,Luis,1,7,6,0,25,44617.40000000001
2192,ZG CITY-AG,Luis,1,12,10,4,41,124984.11000000004
2193,ZG CITY-AG,Luis,2,11,10,6,40,142073.46000000002
2194,ZG CITY-AG,Luis,2,5,4,2,16,56939.939999999995
2195,ZG CITY-AG,Luis,2,6,5,2,21,73177.64999999998
2196,ZG CITY-AG,Luis,1,8,7,5,28,120080.30999999997
2197,ZG CITY-AG,Luis,2,9,6,1,25,71863.13
2198,ZG CITY-AG,Luis,2,5,2,2,10,44697.05
2199,ZG CITY-AG,Luis,1,4,3,0,12,38390.29000000001
2200,ZG CITY-AG,Luis,2,8,7,3,30,78356.62999999999
2201,ZG CITY-AG,Luis,3,13,9,4,37,129801.24000000012
2202,ZG CITY-AG,Luis,4,7,6,3,25,67075.5
2203,ZG CITY-AG,Luis,6,11,8,5,36,128515.35000000008
2204,ZG CITY-AG,Luis,5,13,11,8,44,169147.85
2205,ZG CITY-AG,Luis,6,9,8,5,33,158671.92000000004
2206,ZG CITY-AG,Luis,5,8,7,5,29,121798.84999999987
2207,ZG CITY-AG,Luis,8,10,9,3,36,95403.02000000003
2208,ZG CITY-AG,Luis,3,9,7,2,31,68079.15000000004
2209,ZG CITY-AG,Luis,2,17,11,7,47,223075.1099999999
2210,ZH-EAST-CH,Sarina,13,24,22,8,90,248440.98
2211,ZG CITY-AG,Luis,4,9,5,3,20,106221.93999999999
2212,ZG CITY-AG,Luis,3,6,6,5,25,167266.36999999976
2213,ZG CITY-AG,Luis,4,9,7,5,28,137774.19
2214,ZG CITY-AG,Luis,2,8,7,4,29,129789.48000000001
2215,ZG CITY-AG,Luis,4,11,8,3,35,118661.80000000002
2216,ZG CITY-AG,Luis,5,7,6,3,24,92883.81000000001
2217,ZG CITY-AG,Luis,4,11,7,4,30,94958.05
2218,ZG CITY-AG,Luis,5,11,7,1,30,79310.27000000002
2220,ZH-EAST-CH,Sarina,5,14,11,4,44,156838.30999999994
2221,ZH-EAST-CH,Sarina,6,14,8,2,32,127490.12000000005
2223,ZH-EAST-CH,Sarina,4,6,5,2,20,54810.16000000005
2224,ZH-EAST-CH,Sarina,3,9,8,4,32,98006.45999999999
2225,ZH-EAST-CH,Sarina,9,17,14,5,56,162327.5600000001
2226,ZH-EAST-CH,Sarina,8,18,9,1,36,85360.56
2227,ZH-EAST-CH,Sarina,4,18,11,3,44,141799.50000000006
2228,ZH-EAST-CH,Sarina,5,6,5,3,20,73342.5200000001
2229,ZH-EAST-CH,Sarina,10,18,17,3,68,148363.9600000001
2230,ZH-EAST-CH,Sarina,7,13,11,4,44,113506.94000000002
2231,ZH-EAST-CH,Sarina,12,22,14,9,56,221256.45000000004
2232,ZH-EAST-CH,Sarina,12,20,16,4,62,172181.31999999998
2233,ZH-EAST-CH,Sarina,12,21,17,5,68,179990.22000000003
2236,ZH-EAST-CH,Sarina,3,21,16,3,64,155187.80000000002
2237,ZH-EAST-CH,Sarina,7,12,8,3,32,95095.53
2238,ZH-EAST-CH,Sarina,6,9,5,1,16,71583.7
2239,ZH-EAST-CH,Sarina,4,9,4,1,8,56839.08
2240,ZH-EAST-CH,Sarina,8,13,8,2,16,108105.48000000001
