EAN,Name,PLZ,Ort,Block_APO,Sales_Rep,CVM,Planned_Visits,Block_ADM,FY2025,Top_Priority,CVM_clean
7601001380110,Müller Handels AG Schweiz,4123,Allschwil,2151,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001366213,Amavita Apotheke Rheinbrücke,4058,Basel,2148,Michaela,Build,4,Michaela,12417.780000000006,0,Build
7601001564497,Central Apotheke Allschwil GmbH,4123,Allschwil,2151,Michaela,Gain,4,Michaela,7834.900000000008,0,Gain
7601001367937,Welldro AG Mels,8887,Mels,2232,Sarina,Build,4,Sarina,4825.049999999999,0,Build
7601001378797,Welldro AG Lachen,8853,Lachen,2186,Sarina,Build,5,Sarina,12936.52,0,Build
7601001229365,Volksapotheke zum Rüden,8200,Schaffhausen,2220,Sarina,Defend,4,Sarina,24627.700000000004,1,Defend
7601001013285,Volksapotheke zum Ritter,8200,Schaffhausen,2220,Sarina,Build,4,Sarina,4890.57,0,Build
7601001013308,Volksapotheke im Dorf,8212,Neuhausen am Rheinfall,2220,Sarina,Gain,4,Sarina,14955.94,1,Gain
7601001399563,Viva Drogerie AG,6374,Buochs,2182,Sarina,Build,4,Sarina,15259.19,1,Build
7601001400580,Vitaminplus - Welldro AG,7320,Sargans,2232,Sarina,Gain,4,Sarina,28.66,0,Gain
7601001410923,vitalxund drogerie GmbH,8353,Elgg,2210,Sarina,Maintain,4,Sarina,5878.369999999994,0,Maintain
7601001376267,Vital Drogerie,9053,Teufen,2226,Sarina,Gain,4,Sarina,8159.6799999999985,0,Gain
7601001401938,Wyland Apotheke und Drogerie AG,8450,Andelfingen,2207,Luis,Maintain,4,Luis,16110.219999999994,1,Maintain
7601001375147,Unterstadt-Apotheke GmbH,8200,Schaffhausen,2220,Sarina,Maintain,4,Sarina,5371.37,0,Maintain
7601001020122,Tösstal-Apotheke,8494,Bauma,2210,Sarina,Build,4,Sarina,22456.120000000003,1,Build
7601001022423,TopPharm St. Peter-Apotheke,9500,Wil,2230,Sarina,Build,4,Sarina,20853.589999999997,1,Build
7601001370036,TopPharm Löwen-Apotheke Sarnen,6060,Sarnen,2182,Sarina,Build,4,Sarina,18878.299999999992,1,Build
7601001404922,Galenis SA,6929,Gravesano,2100,Alessia,Build,4,Alessia,11776.989999999998,0,Build
7601001007864,TopPharm Rathaus Apotheke Baar,6340,Baar,2184,Luis,Build,5,Luis,11129.029999999999,0,Build
7601001378827,TopPharm Apotheke Zelger,6370,Stans,2182,Sarina,Build,4,Sarina,18105.35,1,Build
7601001403390,MediCrops Apotheke,4051,Basel,2142,Michaela,Build,4,Michaela,8732.65,0,Build
7601001373099,Sun Store Ardon,1957,Ardon,2059,Eléonore,Maintain,4,Eléonore,7028.5000000000055,0,Maintain
7601001399600,Apotheke der Klinik Arlesheim,4144,Arlesheim,2154,Michaela,Gain,4,Michaela,7086.330000000001,0,Gain
7601001392823,Medbase Apotheke Laufen Stedtli,4242,Laufen,2153,Michaela,Build,4,Michaela,11210.680000000011,0,Build
7601001410817,Amavita Apotheke Oberland,1716,Plaffeien,2088,Florence,Build,4,Florence,13219.130000000005,1,Build
7601001393868,TopPharm Apotheke Wattwil,9630,Wattwil,2230,Sarina,Build,4,Sarina,14369.300000000001,1,Build
7601001009653,Farmacia Martinoli SA,6715,Dongio,2112,Alessia,Build,4,Alessia,8978.230000000001,0,Build
7601001013148,Farmacia Nuova,6596,Gordola,2108,Alessia,Build,4,Alessia,3085.3199999999993,0,Build
7601001781108,Farmacia Stella Alpina,6563,Mesocco,2110,Alessia,Build,4,Alessia,3868.1600000000017,0,Build
7601001402935,Farmacia Centro Contone,6594,Contone,2103,Alessia,Build,4,Alessia,4504.859999999997,0,Build
7601009250491,Farmacia Amavita Serfontana,6836,Serfontana,2091,Alessia,Build,4,Alessia,9079.700000000004,0,Build
7601001017023,Farmacia del Crocefisso SA,6942,Savosa,2101,Alessia,Build,4,Alessia,10259.029999999999,0,Build
7601001006973,Pharmacie d'Attalens SA,1616,Attalens,2081,Eléonore,Maintain,4,Eléonore,3578.3499999999995,0,Maintain
7601001401716,pharmacieplus du marché,1170,Aubonne,2029,Eléonore,Build,4,Eléonore,11777.240000000002,0,Build
7601001375857,Farmacia Castione,6532,Castione,2110,Alessia,Build,4,Alessia,20783.16999999999,1,Build
7601001951648,Farmacia Cassina,6596,Gordola,2108,Alessia,Build,4,Alessia,9804.780000000002,0,Build
7601001012806,Sun Store Avry,1754,Avry-sur-Matran,2087,Eléonore,Defend,4,Eléonore,32765.060000000038,1,Defend
7601001364004,TopPharm Länggass Apotheke AG,3012,Bern,2117,Michaela,Build,4,Michaela,13202.24,1,Build
7601001361034,DROPA Gotthard Apotheke Parfumerie,6340,Baar,2184,Luis,Defend,4,Luis,27054.859999999986,1,Defend
7601001402645,Apotheke Zuger Kantonsspital,6340,Baar,2184,Luis,Observe,0,Luis,506.11,0,Observe
7601001380165,Coop Vitality Apotheke Bachenbülach,8184,Bachenbülach,2206,Luis,Defend,4,Luis,31204.499999999825,1,Defend
7601001008212,TopPharm Rathaus Apotheke Bern,3011,Bern,2113,Michaela,Build,4,Michaela,6952.269999999999,0,Build
7601001410701,TopPharm Apotheke Masans,7000,Chur,2236,Sarina,Build,4,Sarina,6864.499999999999,0,Build
7601001377943,Quellen Apotheke AG,5330,Bad Zurzach,2174,Michaela,Observe,0,Michaela,10363.96,0,Observe
7601001398870,Drogerie Aeberhard GmbH,5330,Bad Zurzach,2174,Luis,Maintain,4,Michaela,6357.880000000002,0,Maintain
7612096770113,Manor AG - Baden,5400,Baden,2168,Luis,Observe,0,Luis,0.0,0,Observe
7601001402737,Coop Vitality Apotheke Baden,5400,Baden,2168,Luis,Defend,4,Luis,29831.620000000017,1,Defend
7601001364103,DROPA Drogerie Baden AG,5400,Baden,2168,Luis,Maintain,4,Luis,10797.999999999996,0,Maintain
7601001368903,Müller Reformhaus Vital Shop AG,5400,Baden,2168,Luis,Observe,0,Luis,0.0,0,Observe
7601001976245,BENU Baden Schlossberg,5400,Baden,2168,Luis,Maintain,4,Luis,9427.869999999997,0,Maintain
7601001395718,Apotheke Wyss am Bahnhof,5400,Baden,2168,Luis,Build,5,Luis,17821.81,1,Build
7601001403857,ifa Apotheken AG,5400,Baden,2168,Luis,Gain,4,Luis,2569.3999999999996,0,Gain
7601001402577,Apotheke Dr. Noyer AG,3008,Bern,2117,Michaela,Build,4,Michaela,11524.58,0,Build
7601001311701,Vita Drogerie AG,5400,Baden,2168,Luis,Observe,0,Luis,3092.5699999999993,0,Observe
7601001412446,Schwanen Apotheke,5400,Baden,2168,Luis,Maintain,4,Luis,6504.16,0,Maintain
7601009092541,Apotheke tag & nacht,5404,Baden,2172,Luis,Gain,4,Luis,22746.88,1,Gain
7601001261969,Schwanen Apotheke,5402,Baden,2168,Luis,Observe,0,Luis,0.0,0,Observe
7601001404205,Farmacia Camorino,6528,Camorino,2103,Alessia,Build,4,Alessia,6780.0999999999985,0,Build
7601001022096,Farmacia Casabella SA,6814,Lamone,2100,Alessia,Build,4,Alessia,9246.46,0,Build
7601009110771,Jura-Apotheke Balsthal AG,4710,Balsthal,2140,Michaela,Observe,0,Michaela,3662.789999999999,0,Observe
7601001380684,DROPA Drogerie Marbet GmbH,4710,Balsthal,2140,Michaela,Maintain,4,Michaela,7757.049999999997,0,Maintain
7601001392724,TopPharm Apotheke Hinwil,8340,Hinwil,2210,Sarina,Build,5,Sarina,12977.549999999997,0,Build
7601001234345,TopPharm Apotheke und Drogerie Heumoos,8906,Bonstetten,2203,Luis,Build,5,Luis,19956.439999999995,1,Build
7601001350175,Bläsi Apotheke Andenmatten,4057,Basel,2149,Michaela,Observe,0,Michaela,2826.93,0,Observe
7601001022294,St. Johann-Drogerie,4056,Basel,2143,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001400825,Coop Vitality Basel Pilger,4055,Basel,2144,Michaela,Build,4,Michaela,11051.480000000021,0,Build
7601001376830,Coop Vitality Apotheke Basel Europecenter,4058,Basel,2148,Michaela,Build,4,Michaela,12258.270000000002,0,Build
7601001407510,Coop Vitality Apotheke Basel Erlenmatt,4058,Basel,2148,Michaela,Maintain,4,Michaela,7993.139999999997,0,Maintain
7601001393516,Coop Vitality Apotheke Basel Südpark,4053,Basel,2146,Michaela,Defend,4,Michaela,17153.57000000003,1,Defend
7601001370708,Coop Vitality Apotheke Basel am Marktplatz,4001,Basel,2142,Michaela,Maintain,4,Michaela,12796.82,0,Maintain
7601001361218,Schifflände Apotheke AG,4051,Basel,2142,Michaela,Maintain,4,Michaela,6098.629999999999,0,Maintain
7601001377615,Neubad Apotheke und Drogerie AG,4054,Basel,2145,Michaela,Defend,4,Michaela,16811.719999999998,1,Defend
7601001379855,City-Apotheke Basel,4051,Basel,2142,Michaela,Maintain,4,Michaela,16424.1,1,Maintain
7601001375802,DROPA Apotheke Gundelitor,4053,Basel,2146,Michaela,Defend,4,Michaela,10156.38,0,Defend
7601001372313,DROPA Apotheke Dreispitz,4053,Basel,2146,Michaela,Maintain,4,Michaela,16133.61999999999,1,Maintain
7601001372412,Bahnhof Apotheke Drogerie AG Basel,4051,Basel,2142,Michaela,Defend,2,Michaela,45472.839999999946,1,Defend
7601001392311,St. Jakobs-Apotheke Basel AG,4051,Basel,2142,Michaela,Maintain,4,Michaela,11986.280000000002,0,Maintain
7601001408128,Spalen Apotheke AG,4051,Basel,2142,Michaela,Observe,0,Michaela,2625.819999999999,0,Observe
7601001397682,Europa Apotheke AG,4056,Basel,2143,Michaela,Build,4,Michaela,8706.290000000003,0,Build
7601009104046,Lindenapotheke Flugplatz Basel,4056,Basel,2143,Michaela,Build,4,Michaela,7447.660000000003,0,Build
7601001366558,Pharmacie Medbase Lausanne Batelière,1007,Lausanne,2020,Eléonore,Build,4,Eléonore,7187.700000000003,0,Build
7601001847682,Medbase Apotheke Reinach,4153,Reinach,2154,Michaela,Build,4,Michaela,16142.3,1,Build
7601001369986,Medbase Apotheke Winterthur Oberi,8404,Winterthur,2208,Luis,Build,5,Luis,1153.0900000000001,0,Build
7601001376175,Müller Handels AG Schweiz,4058,Basel,2148,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001011786,Farmacia di Agno SA,6982,Agno,2099,Alessia,Build,4,Alessia,5870.799999999998,0,Build
7601001406636,pharmacieplus grassi,6760,Faido,2112,Alessia,Build,4,Alessia,4372.469999999998,0,Build
7601001395596,Amavita Apotheke Stern,2502,Biel/Bienne,2135,Florence,Build,4,Florence,12542.840000000011,0,Build
7601001396302,Amavita Ischi Apotheke,3011,Bern,2113,Michaela,Build,4,Michaela,12350.930000000002,0,Build
7601001813342,Amavita Apotheke Storchengässchen,3011,Bern,2113,Michaela,Build,4,Michaela,12558.410000000009,0,Build
7601001885080,Sevogel-Apotheke GmbH,4052,Basel,2147,Michaela,Observe,0,Michaela,4366.8200000000015,0,Observe
7601001406582,Holbein-Apotheke AG,4054,Basel,2145,Michaela,Observe,0,Michaela,6061.329999999996,0,Observe
7601001369245,Breite-Apotheke AG,4052,Basel,2147,Michaela,Build,4,Michaela,7946.710000000003,0,Build
7601009371516,Ahorn Apotheke GmbH,4055,Basel,2144,Michaela,Observe,0,Michaela,3301.4899999999993,0,Observe
7601001007949,St. Johann-Apotheke AG Basel,4056,Basel,2143,Michaela,Maintain,4,Michaela,4127.040000000001,0,Maintain
7601001401457,Schützenmatt Apotheke AG,4055,Basel,2144,Michaela,Gain,4,Michaela,3359.79,0,Gain
7601001407442,Saner Apotheke AG,4058,Basel,2148,Michaela,Observe,0,Michaela,9716.710000000003,0,Observe
7601001361973,Matthäus Apotheke AG,4057,Basel,2149,Michaela,Observe,0,Michaela,4293.129999999999,0,Observe
7601001392618,Lehenmatt-Apotheke AG,4052,Basel,2147,Michaela,Observe,0,Michaela,3937.1,0,Observe
7601001024014,Klybeck-Apotheke,4057,Basel,2149,Michaela,Observe,0,Michaela,2534.8499999999995,0,Observe
7601001358157,Gempen Apotheke AG,4053,Basel,2146,Michaela,Build,4,Michaela,8476.23,0,Build
7601001367081,Dreispitz-Apotheke,4053,Basel,2146,Michaela,Observe,0,Michaela,2606.69,0,Observe
7601001399006,Dreirosen Drogerie Apotheke GmbH,4057,Basel,2149,Michaela,Observe,0,Michaela,5891.490000000001,0,Observe
7601001373754,Westfeld-Apotheke AG,4055,Basel,2144,Michaela,Gain,4,Michaela,8511.980000000001,0,Gain
7601001371279,24 Stunden Apotheke Basel AG,4051,Basel,2142,Michaela,Maintain,4,Michaela,14592.079999999994,1,Maintain
7601001373167,Apotheke Dr. Noyer AG,3011,Bern,2113,Michaela,Build,4,Michaela,5465.24,0,Build
7601001313712,Sternen-Apotheke AG,9450,Altstätten,2233,Sarina,Build,4,Sarina,18417.99,1,Build
7601001315174,Dorfapotheke Ipsach,2563,Ipsach,2133,Florence,Build,4,Florence,14500.36,1,Build
7601001395350,Saner Apotheke AG,4051,Basel,2142,Michaela,Observe,0,Michaela,3858.0499999999993,0,Observe
7601001401945,Höfner Apotheke AG,8832,Wollerau,2186,Sarina,Build,4,Sarina,13407.960000000001,1,Build
7601001372733,Drogerie Hildebrand GmbH,4055,Basel,2144,Michaela,Maintain,4,Michaela,1392.19,0,Maintain
7601001401723,TopPharm Apotheke Dr. Meier AG,5620,Bremgarten,2166,Luis,Build,5,Luis,7466.190000000002,0,Build
7601001378537,TopPharm Apotheke & Drogerie Neumarktplatz AG,5200,Brugg,2171,Luis,Build,5,Luis,9270.679999999998,0,Build
7601001377028,TopPharm Apotheke Gmünder AG Bubendorf,4416,Bubendorf,2156,Michaela,Build,4,Michaela,16001.599999999997,1,Build
7601001591790,TopPharm Apotheke & Drogerie Buchs,5033,Buchs,2173,Luis,Build,5,Luis,14794.309999999998,1,Build
7601001403789,TopPharm Sonnen Apotheke - Eglisau,8193,Eglisau,2206,Luis,Build,5,Luis,5825.61,0,Build
7601001375345,TopPharm Apotheke Gümligen,3073,Gümligen,2127,Michaela,Build,4,Michaela,25231.86999999999,1,Build
7601001392267,TopPharm Vitaluce Apotheke,6280,Hochdorf,2181,Michaela,Build,4,Michaela,18094.02,1,Build
7601001393226,TopPharm Apotheke zum Erzberg,8810,Horgen,2201,Luis,Build,5,Luis,11194.029999999997,0,Build
7601001405486,Wettstein-Apotheke AG,4058,Basel,2148,Michaela,Maintain,4,Michaela,8665.210000000001,0,Maintain
7601001367838,tell-apotheke AG,4053,Basel,2146,Michaela,Build,4,Michaela,6529.66,0,Build
7601001406599,Stern-Apotheke AG,4053,Basel,2146,Michaela,Maintain,4,Michaela,6355.870000000003,0,Maintain
7601001596610,Steinen-Apotheke AG,4051,Basel,2142,Michaela,Maintain,4,Michaela,5772.469999999998,0,Maintain
7601001396036,Sonnen-Apotheke Hochreuter AG,4055,Basel,2144,Michaela,Gain,4,Michaela,9282.369999999999,0,Gain
7601001696778,Apotheke zur Waage AG,4057,Basel,2149,Michaela,Maintain,4,Michaela,3461.1200000000003,0,Maintain
7601001373877,Hardhof Apotheke AG,4052,Basel,2147,Michaela,Maintain,4,Michaela,7146.52,0,Maintain
7601001305366,Apotheke zur Waage AG,4057,Basel,2149,Michaela,Gain,4,Michaela,3359.87,0,Gain
7601001015753,Chrüterhüsli AG,4001,Basel,2142,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001405660,Amavita Apotheke Volz,3011,Bern,2113,Michaela,Build,4,Michaela,11240.330000000018,0,Build
7601001409415,Amavita Apotheke Hirschengraben,3011,Bern,2113,Michaela,Build,4,Michaela,15110.740000000016,1,Build
7601001007475,Giacometti Rotpunkt Apotheke AG,7000,Chur,2236,Sarina,Build,4,Sarina,6102.76,0,Build
7601001400351,Dorf-Drogerie Hafen AG,8303,Bassersdorf,2211,Luis,Observe,0,Luis,2955.35,0,Observe
7601001400962,swidro drogerie elmer GmbH,3315,Bätterkinden,2129,Michaela,Maintain,4,Michaela,5419.22,0,Maintain
7601001403307,TopPharm Apotheke & Drogerie Brentano Hunzenschwil,5502,Hunzenschwil / AG,2162,Luis,Build,5,Luis,6234.26,0,Build
7601001402096,Landapotheke - Apotheke Siebnen AG,8854,Siebnen,2186,Sarina,Build,4,Sarina,13003.529999999997,1,Build
7601001396661,TopPharm Apotheke Schröter Kirchberg,3422,Kirchberg,2130,Michaela,Build,4,Michaela,12134.22,0,Build
7601001402638,pharmacieplus de begnins,1268,Begnins,2029,Eléonore,Maintain,4,Eléonore,2851.64,0,Maintain
7601001024120,TopPharm Apotheke Dr. Voegtli AG,5314,Kleindöttigen,2174,Luis,Build,4,Michaela,18605.09,1,Build
7601001407336,pharmacieplus du hêtre sa,1782,Belfaux,2087,Eléonore,Maintain,4,Eléonore,6072.689999999999,0,Maintain
7601001400023,Pharmacie de Belfaux,1782,Belfaux,2087,Eléonore,Maintain,4,Eléonore,8200.899999999998,0,Maintain
7601001373969,Amavita Apotheke Tafers,1712,Tafers,2088,Florence,Build,4,Florence,12699.340000000002,0,Build
7601001026100,Farmacia San Luca SA,6987,Caslano,2099,Alessia,Build,4,Alessia,7805.209999999999,0,Build
7601001409064,Farmacia Bozzoreda SA,6963,Pregassona,2096,Alessia,Build,4,Alessia,7766.020000000001,0,Build
7601001404809,Coop Vitality Farmacia Mendrisio,6850,Mendrisio,2093,Alessia,Build,4,Alessia,9538.409999999998,0,Build
7601001299245,Farmacia Boscolo SA,6780,Airolo,2112,Alessia,Build,4,Alessia,5603.530000000002,0,Build
7601001967458,Amavita Apotheke Terminus Spiez,3700,Spiez,2122,Florence,Build,4,Florence,15318.679999999993,1,Build
7601001379190,Amavita Apotheke & Drogerie Brugg,5200,Brugg,2171,Luis,Build,5,Luis,11670.160000000009,0,Build
7601001367708,Pharmacie Amavita Condémine,1630,Bulle,2081,Eléonore,Build,4,Eléonore,8179.85,0,Build
7601001374065,Amavita Apotheke Grosse Apotheke,3400,Burgdorf,2129,Michaela,Build,4,Michaela,12600.410000000018,0,Build
7601001378445,Pharmacie Amavita Bagnoud,3963,Crans-Montana,2063,Eléonore,Build,4,Eléonore,8946.23,0,Build
7601001398245,Amavita Apotheke Derendingen,4552,Derendingen,2139,Michaela,Build,4,Michaela,18694.300000000017,1,Build
7601001025639,Pharmacie Amavita Du Croset,1024,Ecublens,2033,Eléonore,Build,4,Eléonore,16433.420000000013,1,Build
7601001398108,Pharmacie Amavita Croisettes,1066,Epalinges,2045,Eléonore,Build,4,Eléonore,5981.929999999998,0,Build
7601001402416,Pharmacie Amavita Croix-Blanche,1066,Epalinges,2045,Eléonore,Build,4,Eléonore,15999.150000000012,1,Build
7601001391840,Pharmacie Amavita St-Barthélemy,1700,Fribourg,2086,Eléonore,Build,4,Eléonore,7798.890000000001,0,Build
7601001375116,Pharmacie Amavita Beauregard,1700,Fribourg,2086,Eléonore,Build,4,Eléonore,6360.100000000003,0,Build
7601001405974,Pharmacie de Belmont Sàrl,1092,Belmont-sur-Lausanne,2045,Eléonore,Build,5,Eléonore,11872.300000000003,0,Build
7601001364288,Drogerie Fischer,3123,Belp,2120,Michaela,Observe,0,Michaela,860.1800000000001,0,Observe
7601001378476,DROPA Drogerie Fischer,3123,Belp,2120,Michaela,Observe,0,Michaela,2874.6800000000007,0,Observe
7601001396449,Apotheke Schützenmatte,3123,Belp,2120,Michaela,Build,4,Michaela,1159.79,0,Build
7601001405127,Apotheke Schönenbrunnen,3123,Belp,2120,Michaela,Build,4,Michaela,2851.0800000000004,0,Build
7601001396432,Apotheke Belp AG,3123,Belp,2120,Michaela,Build,4,Michaela,21249.03,1,Build
7601001408692,Pharmacie Amavita Alpha-Payerne,1530,Payerne,2042,Florence,Build,4,Florence,7184.130000000005,0,Build
7601001403239,Apotheke Mutschellen AG,8965,Berikon,2165,Luis,Build,5,Luis,19201.19999999999,1,Build
7601001014930,Apotheke Dr. Langer,8965,Berikon,2165,Luis,Maintain,4,Luis,16023.839999999997,1,Maintain
7601001007154,TopPharm Dr. Schmid's See-Apotheke,6004,Luzern,2177,Michaela,Build,4,Michaela,22848.68999999999,1,Build
7601001400573,Hirslanden Bern AG - Salem-Spital,3013,Bern,2116,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001373617,Coop Vitality Apotheke Bern Wankdorf,3014,Bern,2116,Michaela,Build,4,Michaela,17252.800000000003,1,Build
7601001400207,Coop Vitality Apotheke Bern Europaplatz,3008,Bern,2117,Michaela,Maintain,4,Michaela,11882.590000000011,0,Maintain
7601001374232,Coop Vitality Apotheke Bern Ryfflihof,3011,Bern,2113,Michaela,Defend,4,Michaela,20269.42000000004,1,Defend
7601001396579,Naturdrogerie Bern AG,3006,Bern,2115,Michaela,Observe,0,Michaela,572.8100000000001,0,Observe
7601001379114,Westside Apotheke AG,3027,Bern,2118,Michaela,Defend,4,Michaela,22850.34999999999,1,Defend
7601001008441,Linden Apotheke - Hörning,3008,Bern,2117,Michaela,Defend,4,Michaela,12903.910000000002,0,Defend
7601001377738,Jura Apotheke AG Bern,3014,Bern,2116,Michaela,Defend,4,Michaela,15786.869999999984,1,Defend
7601001397767,DROPA Apotheke Bern AG,3011,Bern,2113,Michaela,Maintain,4,Michaela,14168.019999999999,1,Maintain
7601001365339,Breitfeld Apotheke AG,3014,Bern,2116,Michaela,Maintain,4,Michaela,7817.379999999992,0,Maintain
7601001008434,Bahnhof Apotheke,3011,Bern,2113,Michaela,Defend,4,Michaela,56486.96999999997,1,Defend
7601001027886,Tscharnergut-Apotheke,3027,Bern,2118,Michaela,Build,4,Michaela,8946.96,0,Build
7601001396159,Schloss-Apotheke,3008,Bern,2117,Michaela,Maintain,4,Michaela,6697.449999999999,0,Maintain
7601001027879,Freudenberg Apotheke,3006,Bern,2115,Michaela,Gain,4,Michaela,11177.74,0,Gain
7601001029514,Bollwerk Apotheke AG,3011,Bern,2113,Michaela,Observe,0,Michaela,7488.270000000001,0,Observe
7601001369962,Medbase Apotheke Winterthur Altstadt,8400,Winterthur,2209,Luis,Build,5,Luis,10174.509999999997,0,Build
7601001315563,Müller Handels AG Schweiz,3011,Bern,2113,Michaela,Observe,0,Michaela,0.0,0,Observe
7601001366442,Pharmacie Amavita Carl-Vogt,1205,Genève,2006,Florence,Build,4,Florence,12066.380000000008,0,Build
7601001374560,Pharmacie Amavita Centre Coop,2740,Moutier,2136,Florence,Build,4,Florence,5085.280000000001,0,Build
7601001374577,Pharmacie Amavita Centre Migros,2740,Moutier,2136,Florence,Build,4,Florence,13565.300000000007,1,Build
