Block_APO,Sales_Rep,pharmacies,visited_pharmacies,top_pharmacies,total_visits,total_sales
2119,Michaela,7,7,1,28,83286.26000000008
2120,Florence,1,1,0,4,446.65000000000003
2120,Michaela,15,12,5,48,153040.54999999996
2121,Michaela,8,5,3,20,73894.15000000005
2122,Florence,18,10,1,40,91675.37
2123,Florence,14,8,4,32,129922.48999999998
2124,Michaela,8,4,2,16,84103.11000000006
2125,Michaela,6,4,3,16,56238.82999999998
2126,Michaela,12,7,2,28,94614.27
2127,Michaela,10,6,3,24,84897.92
2128,Michaela,8,6,3,24,91790.17000000003
2129,Michaela,9,7,3,28,88216.63000000006
2130,Michaela,16,10,1,40,111481.77
2131,Michaela,8,7,0,28,47772.34000000001
2132,Florence,13,10,4,40,121154.68000000002
2133,Florence,10,6,3,24,95929.24999999999
2134,Florence,9,6,3,24,98602.76999999993
2135,Florence,13,10,2,40,111426.96000000002
2136,Florence,7,6,1,24,28396.27000000001
2137,Florence,7,5,0,20,34047.74000000001
2138,Michaela,9,6,3,24,82548.97
2139,Michaela,11,10,6,40,147828.5400000001
2140,Michaela,12,7,5,28,132348.21000000005
2141,Michaela,14,9,4,36,112765.33999999998
2142,Michaela,16,13,4,50,173404.01999999996
2143,Michaela,6,5,0,20,34128.68000000001
2144,Michaela,7,6,0,24,43525.840000000026
2145,Michaela,4,3,2,12,45840.20999999999
2146,Michaela,9,7,2,28,77536.84000000001
2147,Michaela,6,4,0,16,41256.05
2148,Michaela,10,8,0,32,81988.08000000003
2149,Michaela,7,3,0,12,26610.71
2150,Michaela,4,3,1,12,36065.40000000003
2151,Michaela,7,4,1,16,46687.99000000005
2152,Michaela,9,7,2,28,79956.26000000004
2153,Michaela,7,6,3,24,88447.21
2154,Michaela,8,7,3,28,88080.15000000002
2155,Michaela,12,9,4,36,98150.57
2156,Michaela,15,11,5,44,150843.16000000003
2157,Michaela,10,5,3,20,103845.27999999994
2158,Michaela,8,7,2,28,68717.89
2159,Michaela,6,5,3,20,70452.07000000004
2160,Michaela,8,5,3,20,72142.62000000002
2161,Luis,3,2,1,10,32275.019999999997
2161,Michaela,4,4,1,20,43763.939999999995
2162,Luis,11,9,4,39,99689.31999999999
2162,Michaela,1,1,0,4,0.0
2163,Luis,9,4,1,18,64589.28999999999
2164,Luis,8,7,2,30,84662.29999999997
2165,Luis,7,6,4,27,95586.32999999999
2166,Luis,11,9,5,41,131056.62000000004
2167,Luis,7,4,2,17,50752.71000000003
2168,Luis,16,10,5,42,152900.62000000002
2170,Luis,4,4,2,16,105504.68000000011
2170,Michaela,2,0,0,0,2792.46
2171,Luis,6,5,2,23,68694.15000000001
2172,Luis,7,6,4,27,86310.75
2173,Luis,7,5,2,21,67795.00000000003
2173,Michaela,1,1,1,5,13412.119999999997
2174,Luis,4,4,2,16,53441.77
2174,Michaela,1,0,0,0,10363.96
2175,Michaela,12,10,1,40,88005.38000000003
2176,Michaela,8,7,0,28,60390.490000000005
2177,Michaela,4,3,3,12,61908.51000000002
2178,Michaela,9,3,2,12,133217.73999999996
2179,Michaela,17,14,6,56,171051.79000000007
2180,Michaela,24,17,7,68,259569.80000000002
2181,Michaela,14,11,4,44,141673.86000000002
2182,Sarina,19,15,6,60,179440.88000000003
2183,Luis,10,6,3,27,112348.9300000001
2184,Luis,14,11,5,49,157714.09
2185,Sarina,16,9,5,36,154726.38000000006
2186,Sarina,13,9,5,39,137558.96999999997
2187,Luis,22,19,12,76,414795.25000000035
2188,Luis,9,8,4,33,145627.95000000016
2190,Luis,7,6,3,25,74737.69999999998
2191,Luis,7,6,0,25,44617.40000000001
2192,Luis,12,10,4,41,124984.11000000004
2193,Luis,11,10,6,40,142073.46000000002
2194,Luis,5,4,2,16,56939.939999999995
2195,Luis,6,5,2,21,73177.64999999998
2196,Luis,8,7,5,28,120080.30999999997
2197,Luis,9,6,1,25,71863.13
2198,Luis,5,2,2,10,44697.05
2199,Luis,4,3,0,12,38390.29000000001
2200,Luis,8,7,3,30,78356.62999999999
2201,Luis,13,9,4,37,129801.24000000012
2202,Luis,7,6,3,25,67075.5
2203,Luis,11,8,5,36,128515.35000000008
2204,Luis,13,11,8,44,169147.85
2205,Luis,9,8,5,33,158671.92000000004
2206,Luis,8,7,5,29,121798.84999999987
2207,Luis,10,9,3,36,95403.02000000003
2208,Luis,9,7,2,31,68079.15000000004
2209,Luis,17,11,7,47,223075.1099999999
2210,Sarina,24,22,8,90,248440.98
2211,Luis,9,5,3,20,106221.93999999999
2212,Luis,6,6,5,25,167266.36999999976
2213,Luis,9,7,5,28,137774.19
2214,Luis,8,7,4,29,129789.48000000001
2215,Luis,11,8,3,35,118661.80000000002
2216,Luis,7,6,3,24,92883.81000000001
2217,Luis,11,7,4,30,94958.05
2218,Luis,11,7,1,30,79310.27000000002
2220,Sarina,14,11,4,44,156838.30999999994
2221,Sarina,14,8,2,32,127490.12000000005
2223,Sarina,6,5,2,20,54810.16000000005
2224,Sarina,9,8,4,32,98006.45999999999
2225,Sarina,17,14,5,56,162327.5600000001
2226,Sarina,18,9,1,36,85360.56
2227,Sarina,18,11,3,44,141799.50000000006
2228,Sarina,6,5,3,20,73342.5200000001
2229,Sarina,18,17,3,68,148363.9600000001
2230,Sarina,13,11,4,44,113506.94000000002
2231,Sarina,22,14,9,56,221256.45000000004
2232,Sarina,20,16,4,62,172181.31999999998
2233,Sarina,21,17,5,68,179990.22000000003
2236,Sarina,21,16,3,64,155187.80000000002
2237,Sarina,12,8,3,32,95095.53
2238,Sarina,9,5,1,16,71583.7
2239,Sarina,9,4,1,8,56839.08
2240,Sarina,13,8,2,16,108105.48000000001
